player,team,age,position,games_played,minutes_played,total_points,field_goals,field_goals_attempted,free_throws,free_throws_attempted,assists,rebounds,steals,blocks,turnovers,personal_fouls
Omri Casspi,CLE,24,SF,43,503,173,63,160,22,41,28,114,25,12,22,45
Mario Chalmers,MIA,26,PG,77,2068,666,227,529,89,112,273,171,118,12,119,196
Tyson Chandler,NYK,30,C,66,2164,689,255,400,179,258,62,703,42,75,87,188
Wilson Chandler,DEN,25,PF,43,1079,560,210,455,88,111,58,218,45,12,60,119
Josh Childress,BRK,29,SF,14,100,14,6,21,1,2,5,15,2,2,0,3
Earl Clark,LAL,25,PF,59,1363,428,170,386,53,76,65,325,36,44,62,102
Victor Claver,POR,24,SF,49,812,187,74,189,14,30,43,119,26,12,43,75
Norris Cole,MIA,24,PG,80,1590,445,179,425,52,80,164,130,57,7,104,155
Jason Collins,TOT,34,C,38,384,41,9,29,23,32,8,60,12,10,18,85
Jason Collins,BOS,34,C,32,330,37,8,23,21,30,6,52,10,6,16,74
Jason Collins,WAS,34,C,6,54,4,1,6,2,2,2,8,2,4,2,11
Darren Collison,DAL,25,PG,81,2372,972,341,724,242,275,415,219,100,8,173,139
Nick Collison,OKC,32,C,81,1583,412,176,296,60,78,121,333,51,30,69,197
Mike Conley,MEM,25,PG,80,2757,1168,414,940,234,282,487,225,174,24,189,171
Will Conroy,MIN,30,PG,4,20,1,0,9,1,2,0,1,0,0,0,1
Daequan Cook,TOT,25,SG,49,441,137,51,167,9,12,19,61,8,7,15,26
Daequan Cook,HOU,25,SG,16,165,55,21,59,2,3,10,18,6,2,6,13
Daequan Cook,CHI,25,SG,33,276,82,30,108,7,9,9,43,2,5,9,13
Chris Copeland,NYK,28,PF,56,862,486,182,380,63,83,27,119,16,12,50,104
DeMarcus Cousins,SAC,22,C,75,2289,1280,482,1036,312,423,199,746,108,55,225,269
Jamal Crawford,LAC,32,SG,76,2230,1255,445,1016,216,248,193,128,79,13,146,71
Jordan Crawford,TOT,24,SG,70,1709,814,301,725,129,159,225,209,39,7,141,106
Jordan Crawford,WAS,24,SG,43,1127,568,211,508,87,106,157,135,27,5,97,61
Jordan Crawford,BOS,24,SG,27,582,246,90,217,42,53,68,74,12,2,44,45
